name,ra,dec,sp_type,v_mag,parallax,plx_error,snr,reliable
ZTF J212955.03+010023.5,322.47935947658,1.00658599794,,13.799,0.2041,0.0251,8.13,True
NIKC 3-55,68.86313800987,52.94446200561999,C,13.8,0.3727,0.0528,7.06,True
DJM  69,102.99957633063,-2.03087139888,C,13.8,0.2805,0.0331,8.47,True
V* V732 Cen,217.77492341028997,-32.59953901253,,13.8,0.2121,0.0228,9.3,True
Kiso C5-226,71.55912849366,51.88209315526,C,13.8,0.2069,0.0241,8.59,True
DJM 135,107.71225001128002,-13.638196904569998,C,13.8,0.2945,0.028,10.52,True
V* CV Peg,327.05349220893,22.243309232720005,,13.8,0.2743,0.0177,15.5,True
CRTS J233950.3-353032,354.95989112012,-35.50896897683,,13.8,0.2081,0.0171,12.17,True
V* V2281 Sgr,307.05119994818995,-42.60210479926,,13.8,0.1825,0.0198,9.22,True
HE 1157-1434,180.04793974133,-14.847066980620001,C,13.8,0.0602,0.0199,3.03,False
DJM 458,220.42257778472,-65.34397557351,C,13.8,0.3884,0.0116,33.48,True
CRTS J160633.7+115453,241.64072460871,11.9147027199,,13.8,0.1695,0.0216,7.85,True
NIKC 3-16,56.6381801825,52.70432958658,C,13.8,0.3888,0.0419,9.28,True
[W71b] 015-05,119.60048370531,-35.06893952641,C,13.8,0.3,0.0264,11.36,True
HE 1238-1152,190.35404170468,-12.153077634409998,C,13.8,0.236,0.0222,10.63,True
CRTS J070646.0+390452,106.69165563723,39.08139543161,,13.8,0.258,0.0171,15.09,True
C* 2812,297.62068520229,27.703901149109996,C,13.8,0.2672,0.0265,10.08,True
CRTS J013814.5+304639,24.560686099129995,30.777674793759996,,13.8,0.1716,0.0193,8.89,True
V* OY Boo,227.8055294,34.43766744756,,13.8,0.2061,0.0168,12.27,True
ATO J009.0172+29.0603,9.017248014820002,29.06039472311,,13.8,0.199,0.0207,9.61,True
DJM 212,113.97473191383001,-32.02044913995001,C,13.8,0.1612,0.0169,9.54,True
V* DI Leo,151.8577361352,13.94953825312,A3,13.8,0.1493,0.0233,6.41,True
Kiso C2-102,90.10030964795,31.197942613679988,C-N,13.8,0.1369,0.0303,4.52,False
Kiso C4-18,279.40683824082,1.9631877376899998,C,13.8,0.5326,0.0588,9.06,True
Kiso C7-51,294.20851553141,29.057302125500005,C,13.8,0.0461,0.0125,3.69,False
Case  251,336.67250061053,58.14190146975999,N,13.8,0.1749,0.0321,5.45,True
V* AL Crt,172.40500829536,-15.702811735159997,,13.8,0.2146,0.0194,11.06,True
HE 1347-2646,207.67183810781,-27.02765541403,C,13.8,0.1663,0.0146,11.39,True
CRTS J040224.6+335717,60.602847008830004,33.9547186488,,13.8,0.5567,0.0179,31.1,True
CRTS J193628.9-244544,294.12058790432,-24.76211012856,,13.8,0.2284,0.0189,12.08,True
DJM 317,173.33322986931,-56.03135929584,C,13.8,0.1308,0.0185,7.07,True
DJM  52,102.20360549483,3.4100451597299997,C,13.8,0.2343,0.0459,5.1,True
BC    180,333.98167475527,67.37461271626,N,13.8,0.1804,0.0242,7.45,True
DJM 301,170.79944411563,-56.00743971138,C,13.8,0.0492,0.0173,2.84,False
DJM  57,102.57232867872,4.91113171212,C,13.8,0.2477,0.027,9.17,True
Kiso C6-73,99.95260682316,6.241404219499999,C,13.8,0.2751,0.0376,7.32,True
[W71b] 074-05,179.23260331804,-62.258586682090005,C,13.8,0.162,0.0347,4.67,False
V* V1131 Her,266.77147707196,38.5584181383,,13.8,0.2183,0.0137,15.93,True
DJM 283,166.15692439487,-54.38739186112,C,13.8,0.213,0.0148,14.39,True
[W71b] 049-07,145.68164963958,-48.880359760809995,C,13.8,0.2525,0.019,13.29,True
CRTS J000451.0-525416,1.2128336906600001,-52.90422298835,,13.8,0.2569,0.0175,14.68,True
BC    124,26.28633924741,71.32113338326,N,13.8,0.4623,0.0257,17.99,True
DJM 117,106.86934164721002,-18.240349264000002,C,13.8,0.2163,0.022,9.83,True
V* V672 Pup,115.56957246144003,-29.85104362546,C,13.8,0.243,0.0263,9.24,True
V* VX Boo,219.74889561057998,25.14509945472,,13.8,0.2445,0.0225,10.87,True
DJM 386,191.97059003582999,-66.68048976425,C,13.8,0.1307,0.0183,7.14,True
BPS BS 16090-0018,215.05159683807,49.86839328475,,13.8,0.2265,0.0167,13.56,True
C* 2795,296.8245286008399,30.36555405385,C,13.8,0.0337,0.0225,1.5,False
CRTS J160945.3-202930,242.43836362352,-20.49134384025,,13.8,0.2695,0.0218,12.36,True
CRTS J221356.0-144652,333.4837491232,-14.781180857570003,A,13.8,0.2096,0.0177,11.84,True
Kiso C1-96,9.37960296767,57.726275110639996,N,13.8,0.1019,0.0202,5.04,True
V* BQ Sex,161.48167796034,-7.359955114019998,,13.8,0.2541,0.0233,10.91,True
OGLE GD-RRLYR-7747,253.70098197937,-54.03745352886,,13.8,0.3386,0.0178,19.02,True
V* BU Aqr,314.55335215504,-13.235480176450002,,13.8,0.2441,0.0223,10.95,True
Kiso C7-90,295.80631273775,31.81807532046,C,13.8,0.0537,0.0106,5.07,True
NSVS  10549960,220.60599122304,11.030564586379999,,13.8,0.2172,0.0181,12.0,True
HE 1521-0522,231.05057468325998,-5.5478499038899995,C,13.8,0.2056,0.016,12.85,True
HE 1440-1511,220.77957543237997,-15.396784172729996,C,13.8,1.0709,0.0217,49.35,True
HE 1132-3044,173.75842612682,-31.011170900320003,C,13.8,0.2517,0.0169,14.89,True
V* SY Crv,183.06926140099998,-22.90924499107,,13.8,0.252,0.0211,11.94,True
NIKC 3-7,54.02081823155,50.16186190122,C,13.8,0.2724,0.0251,10.85,True
IRAS 07205-2714,110.64438275234001,-27.340661287839996,C,13.8,0.1747,0.0171,10.22,True
V* TU Com,183.44563330481998,30.985442086889996,A2,13.8,0.1629,0.0233,6.99,True
DJM 170,109.61358923313001,-21.07312592343,C,13.8,0.2923,0.0206,14.19,True
Kiso C7-6,288.54457186678,25.298955398589996,C,13.8,0.3209,0.0121,26.52,True
DJM  59,102.66415789758,0.46469011315000003,C,13.8,0.344,0.0255,13.49,True
ATO J305.8886-05.2125,305.88863018061664,-5.212542544514999,,13.801,0.572,0.0181,31.6,True
OGLE BLG-RRLYR-37250,282.35456867043,-30.35256910011,,13.801,0.2886,0.0255,11.32,True
ATO J331.1770-08.5320,331.17699996885995,-8.532024105510002,,13.801,0.1854,0.0226,8.2,True
ATO J284.4994+19.9111,284.49938927811496,19.91122015255139,,13.804,0.3057,0.0147,20.8,True
Cl* NGC 4590   WALK     302,189.86761113265334,-26.746802169904996,,13.806,0.0902,0.02,4.51,False
CRTS J064733.9-324722,101.89173659382,-32.78932387833999,,13.806,0.2638,0.0115,22.94,True
ATO J094.1958+22.0628,94.19584955758751,22.062858781253333,,13.808,0.5537,0.017,32.57,True
V* V Men,83.65359923688,-75.66328934493,,13.809,0.2701,0.0139,19.43,True
CRTS J174421.1-634728,266.08803712212995,-63.79109455997,,13.809,0.2059,0.0174,11.83,True
ROTSE1 J160548.08+350458.1,241.45031898444,35.08276793815,,13.81,0.1778,0.0128,13.89,True
CRTS J084912.5-083320,132.30236371274,-8.55554550257,,13.81,0.2507,0.0168,14.92,True
CRTS J181459.3-690751,273.74698841361,-69.13062905772999,,13.81,0.1894,0.016,11.84,True
CRTS J192805.2-571229,292.02186328238,-57.20807083224,,13.81,0.2555,0.0224,11.41,True
V* FT Boo,213.49813431179996,47.44500315299,,13.81,0.1995,0.0181,11.02,True
V* V2157 Sgr,295.0597884192,-39.3663881546,,13.81,0.1492,0.0176,8.48,True
V* GK Pav,299.23119214229996,-59.48984309332,,13.81,0.211,0.0161,13.11,True
V* TY Scl,359.52802720974995,-33.75279042926,,13.81,0.1535,0.0228,6.73,True
CRTS J043659.2-224413,69.24740710109,-22.73677234846,,13.81,0.1933,0.016,12.08,True
V* UW Pav,267.87551550260997,-61.10990519534,,13.81,0.1596,0.0241,6.62,True
V* UX Cap,313.51402972421,-17.464510638209997,,13.81,0.2383,0.0174,13.7,True
V* V1179 Cen,201.48557838871997,-40.30522037256,,13.81,0.2627,0.0197,13.34,True
CRTS J154441.9-252818,236.17502368319998,-25.471600577019995,,13.81,0.1992,0.0243,8.2,True
CRTS J073648.6-600630,114.2033553368721,-60.10848196931055,,13.819,0.9315,0.011,84.68,True
IRAS 09587-4841,150.16816618737,-48.94164695506,C,13.82,0.2617,0.0214,12.23,True
V* V570 Cen,174.45885571438,-39.60463155073,,13.82,0.2394,0.0191,12.53,True
V* V2703 Oph,253.90329168542,12.430835648930001,,13.82,0.2563,0.0249,10.29,True
V* VX Pav,268.35912162716994,-61.89626017197,,13.82,0.2316,0.0177,13.08,True
CRTS J195436.0-531856,298.65055658145,-53.31555725661,,13.82,0.1852,0.0166,11.16,True
CRTS J060712.7-384409,91.8039166063,-38.73539528106,,13.82,0.22,0.0123,17.89,True
V* PV Lib,230.32963872745003,-13.212322067800002,,13.82,0.2026,0.0223,9.09,True
CRTS J134601.9-203411,206.50806905597997,-20.56966588599,,13.82,0.2566,0.0234,10.97,True
V* DF Lib,236.68695639368997,-16.60171973433,,13.82,0.1809,0.0302,5.99,True
NSVS   5058466,199.02146063342997,48.07925365246,,13.82,0.2201,0.0137,16.07,True
CRTS J151307.9+341427,228.28330222853998,34.24099747925,A1V,13.82,0.1941,0.0138,14.07,True
V* HZ Boo,211.03481282671999,12.176138101990002,,13.82,0.2466,0.0187,13.19,True
CRTS J145427.3-251148,223.61356382981,-25.196766403620003,,13.82,0.0896,0.0179,5.01,True
CRTS J004626.6-575032,11.61054050107,-57.8426826802,,13.82,0.195,0.0126,15.48,True
V* V346 Vir,208.21463593995998,-13.84350924902,,13.82,0.1774,0.0347,5.11,True
LINEAR 23709941,164.43180358016,38.78004193512,A7.0,13.82,0.1808,0.0224,8.07,True
CRTS J155058.7-273333,237.74452408358,-27.55934979284,,13.82,0.1953,0.0197,9.91,True
OGLE LMC-RRLYR-39075,114.80706556993998,-72.37313976182,,13.82,0.2443,0.0118,20.7,True
CRTS J142838.8-251325,217.16149732162,-25.22361296703,,13.82,0.2535,0.018,14.08,True
CRTS J133451.1-274439,203.71236603598996,-27.74467158207,,13.82,0.251,0.0252,9.96,True
UCAC4 085-012032,96.40162260294,-73.1210549451,,13.82,1.2882,0.0112,115.02,True
V* RR Pyx,139.73267801288,-26.56055615794,,13.82,0.2374,0.0174,13.64,True
V* UV Hor,50.94832453148,-48.02214889444,,13.82,0.2221,0.0161,13.8,True
ZTF J162244.62+070424.7,245.68596717802995,7.07353598667,,13.82,0.0895,0.0202,4.43,False
V* IT Pav,307.69726227074,-60.00475889906001,,13.82,0.241,0.0208,11.59,True
CRTS J211324.5-552407,318.3531479884,-55.40184801558,,13.82,0.2503,0.0149,16.8,True
OGLE BLG-RRLYR-35696,274.27572827833,-28.55466484565,,13.821,0.3259,0.023,14.17,True
ASAS J104134-1435.3,160.393497504,-14.587084942489998,,13.822,0.2442,0.0292,8.36,True
V* VX Dor,92.41045328411,-67.11151896686,,13.824,0.2135,0.0126,16.94,True
OGLE BLG-RRLYR-3801,267.5007863796566,-35.61490121578945,,13.826,0.2797,0.0256,10.93,True
OGLE LMC-RRLYR-28980,75.75543252176,-69.1504655822,,13.828,0.2034,0.0126,16.14,True
V* V946 Mon,120.32551036712421,-0.4031519015191667,,13.828,1.7273,0.0204,84.67,True
CRTS J113956.1-125313,174.98417851726,-12.887210304610003,,13.83,0.1898,0.0229,8.29,True
CRTS J191225.6-510213,288.10693696460993,-51.03692612741,,13.83,0.1743,0.0166,10.5,True
V* V2639 Oph,260.52960275336,3.15969568829,,13.83,0.3006,0.0167,18.0,True
V* FY Tel,281.34897870329,-53.32291347137001,,13.83,0.1959,0.0239,8.2,True
OGLE LMC576.25.000756,78.42741477303,-60.53114275654001,,13.83,0.217,0.0127,17.09,True
V* V2187 Sgr,296.84988575627,-45.06518326183,,13.83,0.2405,0.0207,11.62,True
V* V1962 Cyg,324.79374461473,40.71436611231,,13.83,0.401,0.017,23.59,True
CRTS J213757.9-243442,324.49178067733,-24.57786049152,,13.83,0.2712,0.0177,15.32,True
CRTS J160110.0-073723,240.29186063877,-7.623131755049998,,13.83,0.1824,0.0183,9.97,True
ASAS J141539+0010.1,213.91057604791996,0.16975616178,,13.83,0.2114,0.0187,11.3,True
ATO J084.5717-03.0924,84.57174010546,-3.09240515781,,13.83,0.2735,0.0192,14.24,True
CRTS J165531.3+284408,253.88082249513997,28.73569282408,,13.83,0.2174,0.0124,17.53,True
V* AP Crt,179.02084775733,-9.344075041760002,,13.83,0.2388,0.0192,12.44,True
CRTS J182009.1+531731,275.0382863669,53.29249214597,,13.83,0.1917,0.0118,16.25,True
SOPS   II e-41,275.06832771462,-40.01177077773,R,13.83,0.0996,0.0166,6.0,True
V* FH Aqr,336.26035871964,-4.94886797342,,13.83,0.2213,0.0181,12.23,True
SOPS   II e-46,279.36579633442,-41.97561561135999,R,13.83,0.1164,0.015,7.76,True
V* FX CVn,208.96659388287,44.52145278077,,13.83,0.2272,0.0133,17.08,True
CRTS J230603.7-603207,346.51645287367,-60.53460632457,,13.83,0.1781,0.0133,13.39,True
NSVS   2587992,158.01819202763,56.89387283499,,13.83,0.2431,0.0132,18.42,True
CRTS J143035.6+281147,217.64809518286998,28.197003890309993,,13.83,0.1501,0.0196,7.66,True
CRTS J234811.6-565145,357.04833300265,-56.86256197542,,13.83,0.2002,0.0131,15.28,True
ASAS J211848-3430.4,319.69992151311044,-34.507519692516944,,13.832,0.2472,0.019,13.01,True
CRTS J214753.4-471332,326.9727363855,-47.22552603129,,13.836,0.2245,0.0161,13.94,True
OGLE BLG-RRLYR-37020,281.58096115917,-29.814196529810005,,13.837,0.2219,0.0249,8.91,True
V* AI Aqr,331.7580614299,-20.70877823117,,13.84,0.2283,0.0223,10.24,True
CRTS J121308.8-192311,183.28702782187997,-19.38677457382,,13.84,0.7873,0.0198,39.76,True
ATO J328.8605+13.3760,328.8605557178,13.376084151209998,,13.84,0.2171,0.0215,10.1,True
CRTS J194958.1-303611,297.49206037033,-30.60311407249,,13.84,0.2821,0.0171,16.5,True
ROTSE1 J163058.78+160957.5,247.74515661873,16.16596447974,,13.84,0.1849,0.0167,11.07,True
CRTS J163040.7-260517,247.66890358027996,-26.08915760398,,13.84,0.3491,0.0248,14.08,True
V* V1188 Her,247.37454404182,4.488031480589999,,13.84,0.2321,0.0151,15.37,True
NSVS  17866006,98.29981827956001,-24.084643034320003,,13.84,0.2267,0.0125,18.14,True
V* V414 CMa,98.67758609205835,-15.77743832199111,,13.84,0.3733,0.0146,25.57,True
CRTS J195033.8-242054,297.64129911974,-24.347798271029998,,13.84,0.2744,0.0219,12.53,True
ATO J128.0240+06.1502,128.02401185552,6.15028371345,,13.84,0.2312,0.0216,10.7,True
CRTS J071246.6-401355,108.19345154719,-40.23249592267,,13.84,0.4697,0.0141,33.31,True
V* RX UMi,240.45339827246,77.96821156039,,13.84,0.2135,0.0156,13.69,True
V* DR Vir,185.42673860496998,7.891013267810001,G5,13.84,0.1804,0.023,7.84,True
CRTS J213048.6-320821,322.70310239784993,-32.13969567232,,13.84,0.2385,0.0255,9.35,True
NSVS  13438361,232.96008969339002,3.0838726163799994,,13.84,0.2167,0.0168,12.9,True
CRTS J103933.2-255036,159.88824817492,-25.843482037339996,,13.84,0.2281,0.0185,12.33,True
CRTS J200255.7-342338,300.73267129778,-34.39342658141,,13.84,0.2266,0.0184,12.32,True
CRTS J133905.8+174743,204.77435293405998,17.795424225459996,,13.84,0.2313,0.0179,12.92,True
CRTS J004208.5+060729,10.53549784575,6.12469970784,,13.84,0.2257,0.0216,10.45,True
ATO J244.3183+08.1906,244.31841877237,8.19069233971,,13.84,0.1531,0.0191,8.02,True
V* V5665 Sgr,303.45461721408,-37.824270907919995,,13.84,0.1921,0.0208,9.24,True
[SHM2017] J066.40180+07.48231,66.40178931725,7.482283270809999,,13.84,0.1405,0.0181,7.76,True
ATO J018.2937-07.9750,18.29373608686,-7.975028831839999,,13.84,0.195,0.024,8.12,True
V* V757 Sco,245.4247550841,-11.72147327491,,13.84,0.1821,0.0239,7.62,True
V* AW Cet,43.51172695205,-0.42013395818999993,A2:,13.841,0.2112,0.0197,10.72,True
OGLE LMC-RRLYR-854,71.58454442305,-68.42489450311,,13.841,0.2205,0.0126,17.5,True
2MASS J17472631-1630203,266.8596148289987,-16.505644545424722,C,13.841,0.104,0.0326,3.19,False
V* ST Men,60.42330621198,-78.66084025015,,13.842,0.1753,0.0133,13.18,True
ASAS J141733-2339.8,214.38768623986996,-23.66352996306,,13.846,0.3264,0.0212,15.4,True
OGLE GD-RRLYR-2640,191.30979507188997,-57.48034778710999,,13.846,0.3322,0.0155,21.43,True
UCAC4 668-055700,138.27095324939833,43.48773432616611,,13.849,8.0545,0.0142,567.22,True
NSVS  18473831,160.50523851269,-26.44754568809,,13.849,0.2836,0.0231,12.28,True
LINEAR 120165,121.13471885421005,44.62059512226,,13.85,0.2116,0.0192,11.02,True
CRTS J052319.4-011554,80.83105709717,-1.2653240536400001,,13.85,0.4815,0.0203,23.72,True
CRTS J205143.2-074035,312.93027825550996,-7.6766241520600005,,13.85,0.2413,0.0215,11.22,True
CRTS J154726.4-103442,236.86015699549,-10.578466386400002,,13.85,0.191,0.0198,9.65,True
BPS BS 16938-0026,196.17166247184997,38.30157308832,,13.85,0.1481,0.0167,8.87,True
ATO J195.9615+40.3632,195.96153003876998,40.36329198438,,13.85,0.2249,0.0156,14.42,True
LINEAR 7644368,190.13154192480997,8.03857087871,,13.85,0.1815,0.0194,9.36,True
V* SV Ind,307.5663810024,-55.08098331698,,13.85,1.256,0.016,78.5,True
CRTS J134451.9-183333,206.2164793982,-18.55935710974,,13.85,0.2637,0.0339,7.78,True
LINEAR 18998051,251.36388498668998,17.244709537589998,,13.85,0.0298,0.0409,0.73,False
CRTS J084658.8-261532,131.74603363553,-26.258139380460005,,13.85,0.1696,0.0175,9.69,True
PHL  8013,28.325937824930005,-14.355428958880001,,13.85,0.2486,0.0182,13.66,True
V* V398 Peg,317.24144930231995,15.94870272976,,13.85,0.19,0.0214,8.88,True
CRTS J195521.1-221340,298.83887390241995,-22.22707023439,,13.85,0.2258,0.0207,10.91,True
DJM  99,106.06495211777,-14.859571173019999,C,13.85,0.2662,0.031,8.59,True
CRTS J195155.4-464250,297.98112092061,-46.71356931241,,13.85,0.1916,0.0207,9.26,True
CRTS J231047.6+334143,347.69828473312,33.69588041882,,13.85,0.552,0.0161,34.29,True
V* V3433 Oph,272.2684381235799,7.927163364889999,,13.85,0.627,0.0209,30.0,True
CRTS J185022.9-452325,282.59562194666,-45.39035071824,,13.85,0.1943,0.0237,8.2,True
CRTS J062948.8-513311,97.45376148836002,-51.55273924514001,,13.85,0.1909,0.015,12.73,True
NSV  6275,202.4777441363,-42.6505159071,,13.85,0.211,0.0238,8.87,True
CRTS J193522.5-315835,293.84362055739996,-31.976719608040007,,13.85,0.156,0.0257,6.07,True
CRTS J223229.9-343833,338.12399984807,-34.64233379271,,13.85,0.2092,0.0223,9.38,True
V* AW Lyr,280.55820722246,28.37899801688,,13.85,0.2755,0.0139,19.82,True
V* V484 Her,261.38309623052993,20.78488313886,,13.85,0.2449,0.0173,14.16,True
V* V692 Her,245.57558059868,26.375850760139997,,13.85,0.1831,0.0142,12.89,True
V* RV Vol,128.21918034229,-70.07332351352,,13.85,0.1859,0.0135,13.77,True
V* V387 Lup,237.56082071581,-31.444059956240004,,13.85,0.2531,0.0259,9.77,True
V* V1130 Cen,190.19338725922998,-34.85963919216001,,13.85,0.2538,0.0186,13.65,True
V* AL Eri,67.01835507427,-17.17583091016,kA1.5hF0.6,13.85,0.1643,0.0178,9.23,True
CRTS J041145.3-644020,62.93968860145001,-64.67196482501,,13.85,0.1831,0.0135,13.56,True
CRTS J210450.3-023405,316.20975258404997,-2.56842627924,,13.85,0.2087,0.0184,11.34,True
V* PS Cas,23.87680577145,55.71511837953,,13.85,0.4144,0.0163,25.42,True
CRTS J133632.2-474929,204.13426776153,-47.82513138225,,13.85,0.5476,0.0183,29.92,True
CRTS J225741.0-141229,344.42112062524,-14.207892910959998,,13.85,0.2662,0.0222,11.99,True
UCAC4 208-174406,276.1183557206,-48.498049492,,13.852,0.2455,0.0146,16.82,True
CRTS J031626.4-424902,49.10935379089166,-42.81724899246417,,13.859,0.2131,0.0128,16.65,True
V* TU Ret,65.39572301548,-66.6691645195,,13.859,0.2286,0.014,16.33,True
V* CR Com,185.85930900861,16.083476646080005,,13.86,0.234,0.0157,14.9,True
CRTS J150307.7-195558,225.78189560049,-19.93304372868,,13.86,0.2335,0.0169,13.82,True
ATO J292.6090+10.9830,292.60904997913167,10.9831569701225,,13.86,0.5121,0.0153,33.47,True
CRTS J160110.1-361155,240.29223064844996,-36.199022435820005,,13.86,0.2429,0.0197,12.33,True
ASAS J225845-3853.7,344.68588120099,-38.89458454694,,13.86,0.1773,0.0197,9.0,True
CRTS J135534.5+145009,208.89396101891,14.83596342346,,13.86,0.1758,0.0168,10.46,True
BM   IV 142,166.54043931774,-59.28836217517,C,13.86,0.221,0.0412,5.36,True
ROTSE1 J143019.77+341751.6,217.58243046455,34.297668504860006,,13.86,0.2195,0.0137,16.02,True
LINEAR 13062458,225.82266167523997,14.29327250345,,13.86,0.1964,0.0176,11.16,True
CRTS J031123.5-371930,47.84766889691,-37.32525535149,,13.86,0.1955,0.0122,16.02,True
CRTS J150655.7-180632,226.73215350465998,-18.109030352799998,,13.86,0.204,0.024,8.5,True
NSVS  14487922,330.47449550126,-5.49801158585,,13.86,0.2247,0.0228,9.86,True
BPS BS 16479-0007,197.72834971535997,18.41798143371,,13.86,0.2064,0.0209,9.88,True
LINEAR 6891654,140.13019161431,35.55323079175,,13.86,0.1724,0.0231,7.46,True
V* UV Ind,309.78654376803996,-54.42165761396999,,13.86,0.1751,0.0174,10.06,True
CRTS J192934.7-414611,292.39464207476993,-41.769903095139995,,13.86,0.1851,0.0189,9.79,True
V* FU Boo,215.72416729604998,19.538794032789998,,13.86,0.1413,0.0256,5.52,True
CRTS J095030.5+001648,147.6272109269,0.28003041467,,13.86,0.1671,0.0179,9.34,True
V* HP Aqr,357.09076976427997,-14.140163612540002,,13.87,0.1809,0.0276,6.55,True
CRTS J143934.6+382429,219.89434699395,38.408090430739996,,13.87,0.2178,0.0146,14.92,True
ATO J226.2080-05.8722,226.20811104797,-5.87218153099,,13.87,0.1953,0.0222,8.8,True
NSVS   4979455,178.14467363055,42.981751962,,13.87,0.2243,0.0164,13.68,True
V* V353 Lib,238.55867299401,-13.52778025322,,13.87,0.2024,0.0205,9.87,True
ATO J304.6804-07.1497,304.68042554904,-7.149689587959999,,13.87,0.2152,0.0211,10.2,True
CRTS J140105.2-405233,210.27096855455997,-40.8756815608,,13.87,0.1666,0.027,6.17,True
V* PP UMa,133.062853714,70.43999236581,,13.87,0.2232,0.0154,14.49,True
V* V340 Boo,237.24865528378,40.23567748563,,13.87,0.2161,0.0112,19.29,True
V* BZ Lib,233.26705957903994,-26.47490213918,,13.87,0.174,0.0211,8.25,True
CRTS J091401.4-313729,138.50603272255,-31.62475422125,,13.87,0.2396,0.0186,12.88,True
ROTSE1 J164519.45+284021.0,251.33161836888,28.672646658690002,F0,13.87,0.8509,0.0128,66.48,True
V* UV Cap,326.1727240225,-17.209645910629998,F5,13.87,0.2086,0.0206,10.13,True
V* YY Hya,141.58581869226,-22.39399526362,,13.87,2.1932,0.0185,118.55,True
NSVS  17346485,338.26314768065,-11.28064288329,,13.87,0.1777,0.0224,7.93,True
CRTS J185256.5-545056,283.23581964386995,-54.84826518889,,13.87,0.8411,0.0197,42.7,True
V* LM Eri,55.77932307192,-19.44009037766,,13.87,0.2364,0.016,14.77,True
ATO J008.0691+29.0950,8.06910055989,29.095050448640002,,13.87,0.2141,0.0183,11.7,True
CRTS J200143.9-302447,300.43329654585,-30.412940347950006,C,13.87,0.0336,0.024,1.4,False
CRTS J165928.0-012230,254.86685534128,-1.3751571853600002,,13.87,0.2069,0.0191,10.83,True
OGLE GD-RRLYR-5096,238.37782781118997,-45.96148816798999,,13.873,0.5194,0.0163,31.87,True
UCAC4 108-102543,237.02547314145994,-68.46916634993,,13.873,0.2055,0.0185,11.11,True
V* AM Pup,122.4912918566,-42.33568631158,,13.874,0.4136,0.0138,29.97,True
ATO J293.7395-12.0791,293.73953276239706,-12.079129646486667,,13.877,0.35,0.0173,20.23,True
V* V514 Her,265.2373332557099,24.048921717279995,,13.88,0.219,0.0168,13.04,True
PHL  8084,28.98065059693999,2.04568022189,,13.88,0.4332,0.0222,19.51,True
NSVS    253439,7.1866380240600005,80.03375949547,,13.88,0.2812,0.014,20.09,True
ATO J254.4737+24.7546,254.47373569878,24.75460821771,,13.88,0.2271,0.0143,15.88,True
ZTF J140113.11+710523.8,210.30459258157,71.08997787119,,13.88,0.2042,0.0152,13.43,True
V* V2710 Oph,256.29089101276,4.22742362757,,13.88,0.2259,0.0237,9.53,True
CRTS J212058.0+153312,320.24193887917994,15.553430859909998,,13.88,0.2674,0.0171,15.64,True
CRTS J232248.6-385653,350.70271782509997,-38.948191253889995,,13.88,0.1888,0.0154,12.26,True
V* BB UMa,177.25858478116,49.19328531692,,13.88,0.1922,0.0198,9.71,True
CRTS J041135.4+053954,62.89772023222,5.664859073609999,,13.88,0.3157,0.0212,14.89,True
V* AS Lib,229.54141749493,-21.870976120759995,,13.88,0.2082,0.0204,10.21,True
LINEAR 15613098,238.27881333745998,2.6901721715600004,,13.88,0.2496,0.0181,13.79,True
ASAS J000321+0323.9,0.8383292132900001,3.3978395508100006,,13.88,0.2696,0.0265,10.17,True
V* V349 Lib,237.36962007226998,-17.56498004201,,13.88,0.2278,0.0184,12.38,True
V* AV Lib,229.80535807582,-24.76607082062,,13.88,0.2003,0.0203,9.87,True
CRTS J224651.9+134908,341.71649672002,13.819136119649999,,13.88,0.2132,0.0199,10.71,True
CRTS J195427.7-432846,298.61559578635996,-43.47948386357001,,13.88,0.1887,0.0182,10.37,True
[DCD2013] CSS J143104.3-101915,217.76829759459997,-10.32097472556,,13.88,0.25,0.0212,11.79,True
ATO J349.5518+39.5913,349.5518504600299,39.59140848415001,,13.88,0.2297,0.0203,11.32,True
NSVS  16258861,234.44510185073,-6.7177261478000005,,13.88,0.3022,0.0168,17.99,True
V* GI Vir,192.84280931976997,2.9139760183700005,,13.88,0.2006,0.0197,10.18,True
ASAS J093654-0342.8,144.22459149345,-3.71362502759,,13.88,0.2278,0.0186,12.25,True
ZTF J163013.28+191940.4,247.55534181092,19.32787963178,,13.88,0.2225,0.0167,13.32,True
V* CQ Peg,326.54848155129,26.938816428319996,,13.88,0.2409,0.019,12.68,True
ATO J133.7133-13.6517,133.7133768742479,-13.651691974973058,,13.881,0.4869,0.0166,29.33,True
CRTS J125016.0-404049,192.5671812754279,-40.68014293964944,,13.884,0.2198,0.0185,11.88,True
CRTS J140037.9-212437,210.1574591992146,-21.410613080566943,,13.887,0.1708,0.0204,8.37,True
V* GX Aqr,338.73906539446,-3.70920848841,,13.89,0.259,0.018,14.39,True
CRTS J173716.8+335340,264.32048038397,33.89451814612,,13.89,0.4689,0.0132,35.52,True
V* NR Her,265.12741618470994,27.84923225627,,13.89,0.2009,0.0129,15.57,True
CRTS J053608.5-332334,84.03556291433,-33.39295612983,,13.89,0.1864,0.0131,14.23,True
V* OS Her,270.05852472808,34.65686335612,,13.89,0.2027,0.0148,13.7,True
CRTS J033020.9-551757,52.58694901236,-55.29910058442,,13.89,0.1865,0.012,15.54,True
ROTSE1 J162721.01+345928.7,246.83753283058996,34.99086570015999,,13.89,0.2023,0.0125,16.18,True
CRTS J141613.7+245205,214.05710642200998,24.868243746270004,,13.89,0.4445,0.0161,27.61,True
